date,period,bin,count
2020-10-06,morning_commute,15+,3
2020-10-06,off_peak,0-5,572
2020-10-06,off_peak,5-10,357
2020-10-06,off_peak,10-15,128
2020-10-06,off_peak,15+,63
2020-10-06,afternoon_commute,0-5,291
2020-10-06,afternoon_commute,5-10,106
2020-10-06,afternoon_commute,10-15,43
2020-10-06,afternoon_commute,15+,122
2020-10-07,morning_commute,0-5,196
2020-10-07,morning_commute,5-10,133
2020-10-07,morning_commute,10-15,41
2020-10-07,morning_commute,15+,8
2020-10-07,off_peak,0-5,592
2020-10-07,off_peak,5-10,358
2020-10-07,off_peak,10-15,132
2020-10-07,off_peak,15+,48
2020-10-07,afternoon_commute,0-5,341
2020-10-07,afternoon_commute,5-10,227
2020-10-07,afternoon_commute,10-15,106
2020-10-07,afternoon_commute,15+,36
2020-10-08,morning_commute,0-5,193
2020-10-08,morning_commute,5-10,125
2020-10-08,morning_commute,10-15,32
2020-10-08,morning_commute,15+,16
2020-10-08,off_peak,0-5,616
2020-10-08,off_peak,5-10,379
2020-10-08,off_peak,10-15,140
2020-10-08,off_peak,15+,44
2020-10-08,afternoon_commute,0-5,339
2020-10-08,afternoon_commute,5-10,134
2020-10-08,afternoon_commute,10-15,75
2020-10-08,afternoon_commute,15+,89
2020-10-09,morning_commute,0-5,305
2020-10-09,morning_commute,5-10,51
2020-10-09,morning_commute,10-15,59
2020-10-09,morning_commute,15+,12
2020-10-09,off_peak,0-5,625
2020-10-09,off_peak,5-10,464
2020-10-09,off_peak,10-15,160
2020-10-09,off_peak,15+,2
2020-10-09,afternoon_commute,0-5,357
2020-10-09,afternoon_commute,5-10,295
2020-10-09,afternoon_commute,10-15,106
2020-10-09,afternoon_commute,15+,7
2020-10-12,morning_commute,0-5,205
2020-10-12,morning_commute,5-10,184
2020-10-12,morning_commute,10-15,19
2020-10-12,morning_commute,15+,0
2020-10-12,off_peak,0-5,686
2020-10-12,off_peak,5-10,387
2020-10-12,off_peak,10-15,118
2020-10-12,off_peak,15+,46
2020-10-12,afternoon_commute,0-5,342
2020-10-12,afternoon_commute,5-10,316
2020-10-12,afternoon_commute,10-15,74
2020-10-12,afternoon_commute,15+,30
2020-10-13,morning_commute,0-5,201
2020-10-13,morning_commute,5-10,96
2020-10-13,morning_commute,10-15,57
2020-10-13,morning_commute,15+,9
2020-10-13,off_peak,0-5,559
2020-10-13,off_peak,5-10,387
2020-10-13,off_peak,10-15,120
2020-10-13,off_peak,15+,68
2020-10-13,afternoon_commute,0-5,308
2020-10-13,afternoon_commute,5-10,267
2020-10-13,afternoon_commute,10-15,107
2020-10-13,afternoon_commute,15+,28
2020-10-14,morning_commute,0-5,167
2020-10-14,morning_commute,5-10,97
2020-10-14,morning_commute,10-15,76
2020-10-14,morning_commute,15+,10
2020-10-14,off_peak,0-5,557
2020-10-14,off_peak,5-10,365
2020-10-14,off_peak,10-15,189
2020-10-14,off_peak,15+,30
2020-10-14,afternoon_commute,0-5,310
2020-10-14,afternoon_commute,5-10,247
2020-10-14,afternoon_commute,10-15,98
2020-10-14,afternoon_commute,15+,38
2020-10-15,morning_commute,0-5,200
2020-10-15,morning_commute,5-10,82
2020-10-15,morning_commute,10-15,54
2020-10-15,morning_commute,15+,17
2020-10-15,off_peak,0-5,513
2020-10-15,off_peak,5-10,313
2020-10-15,off_peak,10-15,160
2020-10-15,off_peak,15+,63
2020-10-15,afternoon_commute,0-5,278
2020-10-15,afternoon_commute,5-10,277
2020-10-15,afternoon_commute,10-15,91
2020-10-15,afternoon_commute,15+,50
2020-10-16,morning_commute,0-5,268
2020-10-16,morning_commute,5-10,66
2020-10-16,morning_commute,10-15,46
2020-10-16,morning_commute,15+,26
2020-10-16,off_peak,0-5,680
2020-10-16,off_peak,5-10,429
2020-10-16,off_peak,10-15,143
2020-10-16,off_peak,15+,29
2020-10-16,afternoon_commute,0-5,450
2020-10-16,afternoon_commute,5-10,239
2020-10-16,afternoon_commute,10-15,81
2020-10-16,afternoon_commute,15+,31
2020-10-19,morning_commute,0-5,193
2020-10-19,morning_commute,5-10,132
2020-10-19,morning_commute,10-15,53
2020-10-19,morning_commute,15+,3
2020-10-19,off_peak,0-5,518
2020-10-19,off_peak,5-10,482
2020-10-19,off_peak,10-15,153
2020-10-19,off_peak,15+,34
2020-10-19,afternoon_commute,0-5,325
2020-10-19,afternoon_commute,5-10,307
2020-10-19,afternoon_commute,10-15,94
2020-10-19,afternoon_commute,15+,13
2020-10-20,morning_commute,0-5,215
2020-10-20,morning_commute,5-10,158
2020-10-20,morning_commute,10-15,30
2020-10-20,morning_commute,15+,3
2020-10-20,off_peak,0-5,633
2020-10-20,off_peak,5-10,384
2020-10-20,off_peak,10-15,171
2020-10-20,off_peak,15+,29
2020-10-20,afternoon_commute,0-5,274
2020-10-20,afternoon_commute,5-10,366
2020-10-20,afternoon_commute,10-15,87
2020-10-20,afternoon_commute,15+,11
2020-10-21,morning_commute,0-5,195
2020-10-21,morning_commute,5-10,83
2020-10-21,morning_commute,10-15,45
2020-10-21,morning_commute,15+,25
2020-10-21,off_peak,0-5,584
2020-10-21,off_peak,5-10,272
2020-10-21,off_peak,10-15,129
2020-10-21,off_peak,15+,107
2020-10-21,afternoon_commute,0-5,241
2020-10-21,afternoon_commute,5-10,192
2020-10-21,afternoon_commute,10-15,139
2020-10-21,afternoon_commute,15+,62
2020-10-22,morning_commute,0-5,249
2020-10-22,morning_commute,5-10,155
2020-10-22,morning_commute,10-15,30
2020-10-22,morning_commute,15+,2
2020-10-22,off_peak,0-5,748
2020-10-22,off_peak,5-10,430
2020-10-22,off_peak,10-15,124
2020-10-22,off_peak,15+,31
2020-10-22,afternoon_commute,0-5,293
2020-10-22,afternoon_commute,5-10,291
2020-10-22,afternoon_commute,10-15,127
2020-10-22,afternoon_commute,15+,21
2020-10-23,morning_commute,0-5,224
2020-10-23,morning_commute,5-10,159
2020-10-23,morning_commute,10-15,34
2020-10-23,morning_commute,15+,1
2020-10-23,off_peak,0-5,762
2020-10-23,off_peak,5-10,389
2020-10-23,off_peak,10-15,164
2020-10-23,off_peak,15+,29
2020-10-23,afternoon_commute,0-5,428
2020-10-23,afternoon_commute,5-10,345
2020-10-23,afternoon_commute,10-15,78
2020-10-23,afternoon_commute,15+,14
2020-10-26,morning_commute,0-5,259
2020-10-26,morning_commute,5-10,169
2020-10-26,morning_commute,10-15,24
2020-10-26,morning_commute,15+,0
2020-10-26,off_peak,0-5,647
2020-10-26,off_peak,5-10,419
2020-10-26,off_peak,10-15,141
